municerca,fecha_agg,sexo,edad_diagnostico,lon,lat,distancia_rio,distancia_verde_m,distancia_grande_m,longitude,latitude,t2m,d2m,tp,t2m_min,t2m_max,wind_speed,ws10,dia,mes,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom,casos,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,casos_sum_2w,casos_sum_3w,casos_sum_4w,casos_lag_1,casos_lag_2,casos_lag_3,casos_lag_4,casos_ma_4,t2m_mean_1w,t2m_mean_2w,d2m_mean_1w,d2m_mean_2w,tp_mean_1w,tp_sum_1w,tp_mean_2w,tp_sum_2w,t2m_min_mean_1w,t2m_min_mean_2w,t2m_max_mean_1w,t2m_max_mean_2w,ws10_mean_1w,ws10_mean_2w,tp_anom_mean_1w,tp_anom_sum_1w,tp_anom_mean_2w,tp_anom_sum_2w,t2m_anom_mean_1w,t2m_anom_mean_2w,d2m_anom_mean_1w,d2m_anom_mean_2w,t2m_min_anom_mean_1w,t2m_min_anom_mean_2w,t2m_max_anom_mean_1w,t2m_max_anom_mean_2w,vec_lag1,vec_lag2,vec_lag3,vec_sum_2w,vec_sum_3w,Vecinos_total
CGC 1,2024-01,1.0,41.5,-63.2303152,-32.3960078,3059.782386196736,473.7358933927719,2347.6404694736234,-63.25,-32.5,296.5365905761719,289.2002258300781,0.0,291.1891784667969,302.7964172363281,,2.968267923010008,23.5,1.0,-6.775944321243851e-06,-1.5871148003472229,-2.0899817572699817,-1.725629905418117,-1.5561855740017165,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,,,,,,,,,296.5365905761719,297.2897071838379,289.2002258300781,291.31803385416663,0.0,0.0,8.336702982584636e-05,0.00016673405965169272,291.1891784667969,292.8895161946615,302.7964172363281,303.05360412597656,2.968267923010008,2.6371802508975652,-6.775944321243851e-06,-6.775944321243851e-06,-1.578132311503093e-05,-3.156264623006186e-05,-1.5871148003472229,-1.035594356207201,-2.0899817572699817,-0.6511109057767943,-1.725629905418117,-0.8383836063337995,-1.5561855740017165,-1.2836427665050962,3.0,,,,,
CGC 1,2024-02,0.4166666666666667,30.166666666666668,-63.230487016666665,-32.39583230833333,3078.6086948488155,416.17067058871595,2338.9422310692703,-63.25,-32.5,298.0428237915039,293.4358418782552,0.00016673405965169272,294.58985392252606,303.310791015625,,2.3060925787851225,17.5,2.0,-2.4786701908818008e-05,-0.4840739120671789,0.787759945716393,0.04886269275051802,-1.011099959008476,12,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,,,,2.0,,,,,296.5365905761719,297.2897071838379,289.2002258300781,291.31803385416663,0.0,0.0,8.336702982584636e-05,0.00016673405965169272,291.1891784667969,292.8895161946615,302.7964172363281,303.05360412597656,2.968267923010008,2.6371802508975652,-6.775944321243851e-06,-6.775944321243851e-06,-1.578132311503093e-05,-3.156264623006186e-05,-1.5871148003472229,-1.035594356207201,-2.0899817572699817,-0.6511109057767943,-1.725629905418117,-0.8383836063337995,-1.5561855740017165,-1.2836427665050962,29.0,3.0,,32.0,,
CGC 1,2024-03,0.4666666666666667,35.01904761904762,-63.22787188190476,-32.39647975904762,3097.7412073785526,368.8251305366944,2518.72283295392,-63.25,-32.5,295.98892473493305,290.7083714076451,0.00014621189662388393,292.24131266276044,301.59058837890626,,2.7597827694613195,22.752380952380953,3.0,-4.754803168079841e-05,0.5037346303357821,0.2163774935068069,0.20869730093281977,0.9686314970685901,105,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,14.0,,,12.0,2.0,,,,298.0428237915039,297.2897071838379,293.4358418782552,291.31803385416663,0.00016673405965169272,0.00016673405965169272,8.336702982584636e-05,0.00016673405965169272,294.58985392252606,292.8895161946615,303.310791015625,303.05360412597656,2.3060925787851225,2.6371802508975652,-2.4786701908818008e-05,-2.4786701908818008e-05,-1.578132311503093e-05,-3.156264623006186e-05,-0.4840739120671789,-1.035594356207201,0.787759945716393,-0.6511109057767943,0.04886269275051802,-0.8383836063337995,-1.011099959008476,-1.2836427665050962,115.0,29.0,3.0,144.0,147.0,147.0
CGC 1,2024-04,0.4472049689440994,29.229813664596275,-63.228466122360246,-32.39608396086956,3119.5343974078455,354.4045696370358,2453.218060286022,-63.25,-32.5,291.0672973253712,286.7637838991532,0.0002086925210419649,287.03524017333984,294.1552505493164,,2.841804352537993,6.142857142857143,4.0,5.5740766290070804e-05,0.3650072849821067,0.8450339400166796,-0.4277105712890631,-2.160004385488989,161,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,117.0,119.0,,105.0,12.0,2.0,,,295.98892473493305,297.0158742632185,290.7083714076451,292.07210664295013,0.00014621189662388393,0.00014621189662388393,0.00015647297813778832,0.00031294595627557665,292.24131266276044,293.41558329264325,301.59058837890626,302.4506896972656,2.7597827694613195,2.532937674123221,-4.754803168079841e-05,-4.754803168079841e-05,-3.616736679480821e-05,-7.233473358961642e-05,0.5037346303357821,0.009830359134301636,0.2163774935068069,0.5020687196115999,0.20869730093281977,0.1287799968416689,0.9686314970685901,-0.021234230969942924,298.0,115.0,29.0,413.0,442.0,442.0
CGC 1,2024-05,0.0,30.25,-63.22619335,-32.3950273,3306.400342577072,288.00159585956845,2439.0016704894224,-63.25,-32.5,286.4806365966797,280.90169525146484,1.3709068298339844e-05,282.9593811035156,291.8011169433594,,3.331888041155741,2.25,5.0,-2.409484651353624e-05,-2.466858870894839,-1.0106771963613852,-2.5788647686993613,-2.7505979184751084,4,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,266.0,278.0,280.0,161.0,105.0,12.0,2.0,70.0,291.0672973253712,293.5281110301521,286.7637838991532,288.73607765339915,0.0002086925210419649,0.0002086925210419649,0.0001774522088329244,0.0003549044176658488,287.03524017333984,289.63827641805017,294.1552505493164,297.8729194641113,2.841804352537993,2.800793560999656,5.5740766290070804e-05,5.5740766290070804e-05,4.096367304636199e-06,8.192734609272398e-06,0.3650072849821067,0.4343709576589444,0.8450339400166796,0.5307057167617433,-0.4277105712890631,-0.10950663517812165,-2.160004385488989,-0.5956864442101995,415.0,298.0,115.0,713.0,828.0,828.0
CGC 1,2024-10,0.0,56.0,-63.2329478,-32.3980995,2765.5736616965473,616.7072152172404,2501.839113320787,-63.25,-32.5,294.1554870605469,285.689208984375,0.0,288.15570068359375,303.3840637207031,,0.6942533724035105,11.0,10.0,-0.00019731918970743815,1.7865356445312273,2.2373592800564097,2.0429287380642336,2.6553524441189325,1,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,165.0,270.0,282.0,4.0,161.0,105.0,12.0,70.5,286.4806365966797,288.77396696102545,280.90169525146484,283.832739575309,1.3709068298339844e-05,1.3709068298339844e-05,0.00011120079467015237,0.00022240158934030475,282.9593811035156,284.99731063842773,291.8011169433594,292.9781837463379,3.331888041155741,3.0868461968468672,-2.409484651353624e-05,-2.409484651353624e-05,1.5822959888267286e-05,3.164591977653457e-05,-2.466858870894839,-1.0509257929563662,-1.0106771963613852,-0.08282162817235278,-2.5788647686993613,-1.5032876699942122,-2.7505979184751084,-2.4553011519820487,0.0,0.0,1.0,0.0,1.0,1.0
CGC 1,2025-01,0.5,20.5,-63.227142099999995,-32.3985876,2895.172215398683,320.7429415595851,2763.286917218259,-63.25,-32.5,299.3266143798828,292.6870574951172,6.556510925292969e-07,294.0155029296875,305.91490173339844,,1.521877741848933,13.5,1.0,-5.061096615261502e-06,1.644277275933149,1.848759290907111,1.7294517234519446,1.4505745216652315,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,5.0,166.0,271.0,1.0,4.0,161.0,105.0,67.75,294.1554870605469,290.3180618286133,285.689208984375,283.2954521179199,0.0,0.0,6.854534149169922e-06,1.3709068298339844e-05,288.15570068359375,285.5575408935547,303.3840637207031,297.59259033203125,0.6942533724035105,2.013070706779626,-0.00019731918970743815,-0.00019731918970743815,-0.00011070701811048719,-0.00022141403622097437,1.7865356445312273,-0.34016161318180593,2.2373592800564097,0.6133410418475123,2.0429287380642336,-0.26796801531756387,2.6553524441189325,-0.04762273717808796,2.0,2.0,0.0,4.0,4.0,4.0
CGC 1,2025-03,0.25,20.5,-63.231211175,-32.3955106,3088.4874623245237,363.1321187288278,2271.5512530869432,-63.25,-32.5,293.8115005493164,289.0700912475586,1.0818243026733398e-05,290.14517974853516,299.89012908935547,,2.0064351698307865,20.5,3.0,-0.00018242619655750415,-1.2447654441550924,-0.49504241943358807,-1.2382094771773637,-0.4363268816912722,4,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,3.0,7.0,168.0,2.0,1.0,4.0,161.0,42.0,299.3266143798828,296.74105072021484,292.6870574951172,289.1881332397461,6.556510925292969e-07,6.556510925292969e-07,3.2782554626464844e-07,6.556510925292969e-07,294.0155029296875,291.0856018066406,305.91490173339844,304.6494827270508,1.521877741848933,1.108065557126222,-5.061096615261502e-06,-5.061096615261502e-06,-0.00010119014316134983,-0.00020238028632269965,1.644277275933149,1.7154064602321881,1.848759290907111,2.0430592854817604,1.7294517234519446,1.8861902307580891,1.4505745216652315,2.052963482892082,10.0,1.0,2.0,11.0,13.0,13.0
CGC 1,2025-04,0.25,23.25,-63.226510475,-32.395250325,3275.44698035722,310.4868343594835,2464.603317998545,-63.25,-32.5,289.34967041015625,285.64588928222656,0.00012221932411193848,286.91699981689453,293.40966796875,,1.5253912301571122,16.25,4.0,4.8613152436978666e-05,-1.282897746547718,-0.13482243719379028,-0.5678439670138857,-3.8553029095684934,4,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,6.0,7.0,11.0,4.0,2.0,1.0,4.0,2.75,293.8115005493164,296.5690574645996,289.0700912475586,290.8785743713379,1.0818243026733398e-05,1.0818243026733398e-05,5.736947059631348e-06,1.1473894119262695e-05,290.14517974853516,292.0803413391113,299.89012908935547,302.90251541137695,2.0064351698307865,1.76415645583986,-0.00018242619655750415,-0.00018242619655750415,-9.374364658638282e-05,-0.00018748729317276565,-1.2447654441550924,0.1997559158890283,-0.49504241943358807,0.6768584357367615,-1.2382094771773637,0.24562112313729045,-0.4363268816912722,0.5071238199869796,21.0,10.0,1.0,31.0,32.0,32.0
CGC 1,2025-05,0.0,26.666666666666668,-63.23022726666667,-32.3943178,3242.368903337018,331.0110014596735,2175.007278496148,-63.25,-32.5,292.079345703125,289.6591491699219,2.0265579223632812e-05,289.7202555338542,296.48488362630206,,1.8377510559390746,8.333333333333334,5.0,-1.969631807303723e-05,2.3766346872588806,3.712378833912036,2.9208628713348808,2.177849588276407,3,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,8.0,10.0,11.0,4.0,4.0,2.0,1.0,2.75,289.34967041015625,291.5805854797363,285.64588928222656,287.3579902648926,0.00012221932411193848,0.00012221932411193848,6.651878356933594e-05,0.00013303756713867188,286.91699981689453,288.53108978271484,293.40966796875,296.64989852905273,1.5253912301571122,1.7659131999939492,4.8613152436978666e-05,4.8613152436978666e-05,-6.690652206026274e-05,-0.00013381304412052547,-1.282897746547718,-1.2638315953514052,-0.13482243719379028,-0.31493242831368917,-0.5678439670138857,-0.9030267220956247,-3.8553029095684934,-2.145814895629883,15.0,21.0,10.0,36.0,46.0,46.0
